DATE,CES2000000008
1947-01-01,1.03
1947-02-01,1.04
1947-03-01,1.06
1947-04-01,1.08
1947-05-01,1.10
1947-06-01,1.11
1947-07-01,1.12
1947-08-01,1.14
1947-09-01,1.16
1947-10-01,1.18
1947-11-01,1.20
1947-12-01,1.20
1948-01-01,1.21
1948-02-01,1.24
1948-03-01,1.24
1948-04-01,1.25
1948-05-01,1.27
1948-06-01,1.29
1948-07-01,1.31
1948-08-01,1.32
1948-09-01,1.33
1948-10-01,1.33
1948-11-01,1.33
1948-12-01,1.34
1949-01-01,1.35
1949-02-01,1.36
1949-03-01,1.36
1949-04-01,1.37
1949-05-01,1.37
1949-06-01,1.38
1949-07-01,1.37
1949-08-01,1.37
1949-09-01,1.37
1949-10-01,1.38
1949-11-01,1.38
1949-12-01,1.39
1950-01-01,1.40
1950-02-01,1.39
1950-03-01,1.41
1950-04-01,1.41
1950-05-01,1.42
1950-06-01,1.42
1950-07-01,1.43
1950-08-01,1.44
1950-09-01,1.47
1950-10-01,1.48
1950-11-01,1.49
1950-12-01,1.51
1951-01-01,1.53
1951-02-01,1.54
1951-03-01,1.56
1951-04-01,1.58
1951-05-01,1.60
1951-06-01,1.61
1951-07-01,1.62
1951-08-01,1.62
1951-09-01,1.63
1951-10-01,1.63
1951-11-01,1.65
1951-12-01,1.64
1952-01-01,1.65
1952-02-01,1.66
1952-03-01,1.68
1952-04-01,1.69
1952-05-01,1.68
1952-06-01,1.67
1952-07-01,1.71
1952-08-01,1.73
1952-09-01,1.75
1952-10-01,1.77
1952-11-01,1.78
1952-12-01,1.78
1953-01-01,1.79
1953-02-01,1.79
1953-03-01,1.82
1953-04-01,1.83
1953-05-01,1.85
1953-06-01,1.85
1953-07-01,1.87
1953-08-01,1.88
1953-09-01,1.89
1953-10-01,1.91
1953-11-01,1.92
1953-12-01,1.92
1954-01-01,1.94
1954-02-01,1.94
1954-03-01,1.94
1954-04-01,1.95
1954-05-01,1.97
1954-06-01,1.97
1954-07-01,1.96
1954-08-01,1.97
1954-09-01,1.97
1954-10-01,1.98
1954-11-01,1.98
1954-12-01,1.99
1955-01-01,1.99
1955-02-01,1.99
1955-03-01,1.99
1955-04-01,2.01
1955-05-01,2.01
1955-06-01,2.02
1955-07-01,2.04
1955-08-01,2.04
1955-09-01,2.04
1955-10-01,2.05
1955-11-01,2.06
1955-12-01,2.06
1956-01-01,2.07
1956-02-01,2.09
1956-03-01,2.11
1956-04-01,2.11
1956-05-01,2.12
1956-06-01,2.14
1956-07-01,2.15
1956-08-01,2.17
1956-09-01,2.17
1956-10-01,2.19
1956-11-01,2.20
1956-12-01,2.21
1957-01-01,2.23
1957-02-01,2.23
