DATE,PSMEAUSDM
1990-01-01,191.3061278505
1990-02-01,182.2671751085
1990-03-01,184.3284972582
1990-04-01,191.0636193623
1990-05-01,199.9702947471
1990-06-01,192.4856009522
1990-07-01,193.9737212207
1990-08-01,192.6950401011
1990-09-01,198.2396659904
1990-10-01,200.7639588903
1990-11-01,192.0116070889
1990-12-01,189.5424297545
1991-01-01,180.4042689946
1991-02-01,183.5127868888
1991-03-01,184.0749656569
1991-04-01,190.369163237
1991-05-01,189.3219674925
1991-06-01,190.0825622964
1991-07-01,184.6812368774
1991-08-01,199.187653717
1991-09-01,212.9555219789
1991-10-01,203.1890437723
1991-11-01,198.6805905144
1991-12-01,191.5265901125
1992-01-01,193.3564268871
1992-02-01,192.5627627439
1992-03-01,194.9437551735
1992-04-01,192.2761618033
1992-05-01,199.5293702231
1992-06-01,201.3040914322
1992-07-01,192.6399245356
1992-08-01,190.1817703143
1992-09-01,194.9878476259
1992-10-01,199.8710867292
1992-11-01,199.1215150384
1992-12-01,204.8425107373
1993-01-01,203.3213211295
1993-02-01,195.9689046918
1993-03-01,199.3860697528
1993-04-01,204.2693088561
1993-05-01,211.5555866152
1993-06-01,210.5304370969
1993-07-01,250.7317305726
1993-08-01,239.4881552106
1993-09-01,219.9882681367
1993-10-01,211.4894479366
1993-11-01,227.7595628722
1993-12-01,223.8243114955
1994-01-01,217.1332818438
1994-02-01,215.2483295037
1994-03-01,213.4846314077
1994-04-01,207.5211272206
1994-05-01,210.8060149244
1994-06-01,216.9899813735
1994-07-01,199.9151791816
1994-08-01,192.4966240653
1994-09-01,186.3236807293
1994-10-01,179.3350270239
1994-11-01,175.4548912127
1994-12-01,173.4486846285
1995-01-01,172.511720015
1995-02-01,170.2850511688
1995-03-01,177.1965430825
1995-04-01,184.0749656569
1995-05-01,185.629224604
1995-06-01,189.8510769213
1995-07-01,199.3640235266
1995-08-01,194.6351080067
1995-09-01,209.8139347454
1995-10-01,219.2276733328
1995-11-01,230.5373873734
1995-12-01,249.4310032268
1996-01-01,258.3597248378
1996-02-01,253.7079711096
1996-03-01,251.4041404717
1996-04-01,274.3983543983
1996-05-01,271.6205298971
1996-06-01,264.2460672332
1996-07-01,272.5464713975
1996-08-01,281.530308574
1996-09-01,294.0525650556
1996-10-01,260.8950408508
1996-11-01,255.5488309973
1996-12-01,258.2384705937
1997-01-01,260.6635554757
1997-02-01,273.4503666717
1997-03-01,301.1734961182
1997-04-01,309.3305998122
1997-05-01,324.9944435273
1997-06-01,300.6554098025
1997-07-01,284.3301793014
1997-08-01,279.8107029304
1997-09-01,277.9477968165
1997-10-01,245.043804213
1997-11-01,259.6824984098
1997-12-01,241.4172000031
1998-01-01,217.8387610822
1998-02-01,207.1132720359
1998-03-01,188.8920660816
1998-04-01,176.480040731
1998-05-01,171.3983855919
1998-06-01,178.4201086366
1998-07-01,188.0432863729
1998-08-01,152.8464862446
1998-09-01,143.2233085083
1998-10-01,151.2481348451
1998-11-01,160.3201569264
1998-12-01,160.9043819207
1999-01-01,150.1458235351
1999-02-01,143.0579618118
1999-03-01,144.4468740624
1999-04-01,146.5081962121
1999-05-01,145.2405382056
1999-06-01,150.3662857971
1999-07-01,143.2563778476
1999-08-01,154.1251673642
1999-09-01,161.6759998377
1999-10-01,166.008083286
1999-11-01,164.4538243389
1999-12-01,161.4996300281
2000-01-01,172.4345582233
2000-02-01,180.4704076732
2000-03-01,185.629224604
2000-04-01,187.8558934502
2000-05-01,200.9844211523
2000-06-01,191.4935207732
2000-07-01,175.928885076
