pdq,seasonal_pdq,hold_out,MAPE
"(0, 0, 0)","(0, 0, 0, 12)",6,1.0
"(0, 0, 0)","(0, 0, 0, 12)",9,1.0
"(0, 0, 0)","(0, 0, 0, 12)",12,1.0
"(0, 0, 0)","(0, 0, 1, 12)",6,1.0035568474690837
"(0, 0, 0)","(0, 0, 1, 12)",9,1.0034988231482262
"(0, 0, 0)","(0, 0, 1, 12)",12,0.6298496181524446
"(0, 0, 0)","(0, 0, 2, 12)",6,0.6631804432247606
"(0, 0, 0)","(0, 0, 2, 12)",9,0.7047664450121077
"(0, 0, 0)","(0, 0, 2, 12)",12,0.6789182871946284
"(0, 0, 0)","(0, 1, 0, 12)",6,0.1524286189405867
"(0, 0, 0)","(0, 1, 0, 12)",9,0.1734055002825613
"(0, 0, 0)","(0, 1, 0, 12)",12,0.16720527615063893
"(0, 0, 0)","(0, 1, 1, 12)",6,0.17144490933830844
"(0, 0, 0)","(0, 1, 1, 12)",9,0.17450498916687876
"(0, 0, 0)","(0, 1, 1, 12)",12,0.1750997397061397
"(0, 0, 0)","(0, 1, 2, 12)",6,2.9183263405741795
"(0, 0, 0)","(0, 1, 2, 12)",9,0.1698024156523407
"(0, 0, 0)","(0, 1, 2, 12)",12,4434.914761802776
"(0, 0, 0)","(0, 2, 0, 12)",6,0.16056970809743734
"(0, 0, 0)","(0, 2, 0, 12)",9,0.2199171889343669
"(0, 0, 0)","(0, 2, 0, 12)",12,0.2056819611285344
"(0, 0, 0)","(0, 2, 1, 12)",6,0.1493078795132396
"(0, 0, 0)","(0, 2, 1, 12)",9,0.17292844238454377
"(0, 0, 0)","(0, 2, 1, 12)",12,0.16741079858255514
"(0, 0, 0)","(0, 2, 2, 12)",6,0.1438341716866476
"(0, 0, 0)","(0, 2, 2, 12)",9,0.23349207745035297
"(0, 0, 0)","(0, 2, 2, 12)",12,0.4755369635363878
"(0, 0, 0)","(1, 0, 0, 12)",6,0.14177872525435467
"(0, 0, 0)","(1, 0, 0, 12)",9,0.16987772068162282
"(0, 0, 0)","(1, 0, 0, 12)",12,0.16866536465371418
"(0, 0, 0)","(1, 0, 1, 12)",6,0.14673341168326418
"(0, 0, 0)","(1, 0, 1, 12)",9,0.15803359299283787
"(0, 0, 0)","(1, 0, 1, 12)",12,0.16127181754600362
"(0, 0, 0)","(1, 0, 2, 12)",6,0.14412085855248394
"(0, 0, 0)","(1, 0, 2, 12)",9,0.1420184495214349
"(0, 0, 0)","(1, 0, 2, 12)",12,0.14634374507974948
"(0, 0, 0)","(1, 1, 0, 12)",6,0.14586212314462554
"(0, 0, 0)","(1, 1, 0, 12)",9,0.1479790704320165
